id,utc,hypothesis,change,code_hash,configuration,seed_role,seed_set,command,result,adopted
H0_dev30,2026-09-12T08:16:26.780699+00:00,Correct mixed-source directional baseline,25-station+paired80+open route,5ec1e01,H0.json,development,400001-400030,python code/experiment.py --phase H0_dev30 --variants H0 --start 400001 --count 30 --replay,"{""n"": 30, ""complete"": 30, ""all_success"": true, ""missing_metrics"": 0, ""mean_total"": 7166.0657466, ""mean_per_source"": 533.2655299422946, ""p95"": 7949.7577769, ""worst"": 8309.888944, ""mean_wall"": 5.193932536666398, ""worst_wall"": 6.91231629998947, ""mean_move_time"": 5553.3990796008, ""mean_RF_detection_time"": 1312.1666666666667, ""mean_channel_switch_time"": 231.66666666666666, ""mean_optical_time"": 41.3, ""mean_clear_time"": 27.533333333333335, ""mean_no_signal_count"": 220.63333333333333, ""mean_optical_failed_count"": 0, ""mean_fallback_count"": 0, ""mean_journal_bytes"": 292851, ""mean_role_cost"": {""search"": {""actions"": 226.86666666666667, ""total_time"": 4250.365465931447, ""move_time"": 2901.5654659314464, ""rf_time"": 1134.3333333333333, ""switch_time"": 214.46666666666667, ""optical_time"": 0.0, ""clear_time"": 0.0}, ""paired_probe"": {""actions"": 35.56666666666667, ""total_time"": 2491.6152476047746, ""move_time"": 2296.5819142714413, ""rf_time"": 177.83333333333334, ""switch_time"": 17.2, ""optical_time"": 0.0, ""clear_time"": 0.0}, ""guaranteed"": {""actions"": 13.766666666666667, ""total_time"": 424.0850327312466, ""move_time"": 355.2516993979133, ""rf_time"": 0.0, ""switch_time"": 0.0, ""optical_time"": 41.3, ""clear_time"": 27.533333333333335}}}",True
A_22_dev30,2026-09-12T08:19:53.482640+00:00,22 stations reduce whole-task cost,station count/radius skeleton,b7a8efe,H1_22.json,development,400001-400030,"python code/experiment.py --phase A_22_dev30 --variants H0,H1_22 --start 400001 --count 30","{""phase"": ""A_22_dev30"", ""baseline"": ""H0"", ""candidate"": ""H1_22"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 526.516589032961, ""improvement_percent"": 1.2655873163345062, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 8330.961741849998, ""p95_change_percent"": 4.79516452762474, ""bootstrap_improvement_95_percent"": [-2.3998741470289313, 4.436297770249692], ""faster"": 17, ""slower"": 13, ""gate_passed"": false}",False
D_spacing_dev30_b40,2026-09-12T08:24:04.145650+00:00,Probe spacing reduces approach and second-endpoint travel,probe_b only,0375069,b40,development,400001-400030,python code/experiment.py --phase D_spacing_dev30 --start 400001 --count 30,"{""phase"": ""D_spacing_dev30"", ""baseline"": ""H0"", ""candidate"": ""b40"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 527.4152951824689, ""improvement_percent"": 1.0970584880029306, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 7958.54599615, ""p95_change_percent"": 0.1105470065457359, ""bootstrap_improvement_95_percent"": [-1.2007160102642918, 3.297662728410039], ""faster"": 17, ""slower"": 13, ""gate_passed"": true}",validation_pending
D_spacing_dev30_b120,2026-09-12T08:24:04.145650+00:00,Probe spacing reduces approach and second-endpoint travel,probe_b only,0375069,b120,development,400001-400030,python code/experiment.py --phase D_spacing_dev30 --start 400001 --count 30,"{""phase"": ""D_spacing_dev30"", ""baseline"": ""H0"", ""candidate"": ""b120"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 542.2924863690755, ""improvement_percent"": -1.6927695341114029, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 8196.86668175, ""p95_change_percent"": 3.1083828185059392, ""bootstrap_improvement_95_percent"": [-2.813624384493239, -0.454194893738124], ""faster"": 7, ""slower"": 23, ""gate_passed"": false}",False
D_spacing_dev30_b160,2026-09-12T08:24:04.145650+00:00,Probe spacing reduces approach and second-endpoint travel,probe_b only,0375069,b160,development,400001-400030,python code/experiment.py --phase D_spacing_dev30 --start 400001 --count 30,"{""phase"": ""D_spacing_dev30"", ""baseline"": ""H0"", ""candidate"": ""b160"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 552.6144995378116, ""improvement_percent"": -3.6283930816999925, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 8420.86277735, ""p95_change_percent"": 5.9260296183980765, ""bootstrap_improvement_95_percent"": [-6.097855950288929, -1.4885109989341223], ""faster"": 6, ""slower"": 24, ""gate_passed"": false}",False
D40_validation100,2026-09-12T08:34:01.710232+00:00,Validate smaller paired-probe spacing,probe_b=40,0375069,D_b40.json,validation,410001-410100,python code/experiment.py --phase D40_validation100 --start 410001 --count 100 --role validation --replay,"{""phase"": ""D40_validation100"", ""baseline"": ""H0"", ""candidate"": ""D40"", ""pairs"": 100, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 100, ""mean_per_source_baseline"": 575.6980680073701, ""mean_per_source_candidate"": 571.8456210052741, ""improvement_percent"": 0.6691783794637832, ""p95_baseline"": 8225.85542245, ""p95_candidate"": 8155.32621305, ""p95_change_percent"": -0.8574088137692337, ""bootstrap_improvement_95_percent"": [-0.43992231914312646, 1.800872797809597], ""faster"": 61, ""slower"": 39, ""gate_passed"": false}",False
C_replacement_dev30_C1,2026-09-12T08:48:45.187896+00:00,Actual stopping points save search travel,Replace one certified future station,8469efdc6d4bdcbf8b1b856bf5702fee96230f8616b5c8a7abca2e0556e442cd,C_group1.json,development,400001-400030,"python code/experiment.py --phase C_replacement_dev30 --variants {""H0"": ""H0.json"", ""C1"": ""C_group1.json"", ""C2"": ""C_group2.json""} --start 400001 --count 30 --role development","{""phase"": ""C_replacement_dev30"", ""baseline"": ""H0"", ""candidate"": ""C1"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 531.3794429804336, ""improvement_percent"": 0.35368626996481334, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 7948.512833899999, ""p95_change_percent"": -0.015660137515360883, ""bootstrap_improvement_95_percent"": [-0.24877234946042692, 1.3567655508101917], ""faster"": 4, ""slower"": 3, ""gate_passed"": false}",rejected
C_replacement_dev30_C2,2026-09-12T08:48:45.300384+00:00,Station groups have complementary coverage,Replace up to two certified future stations,8469efdc6d4bdcbf8b1b856bf5702fee96230f8616b5c8a7abca2e0556e442cd,C_group2.json,development,400001-400030,"python code/experiment.py --phase C_replacement_dev30 --variants {""H0"": ""H0.json"", ""C1"": ""C_group1.json"", ""C2"": ""C_group2.json""} --start 400001 --count 30 --role development","{""phase"": ""C_replacement_dev30"", ""baseline"": ""H0"", ""candidate"": ""C2"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 531.3794429804336, ""improvement_percent"": 0.35368626996481334, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 7948.512833899999, ""p95_change_percent"": -0.015660137515360883, ""bootstrap_improvement_95_percent"": [-0.24877234946042692, 1.3567655508101917], ""faster"": 4, ""slower"": 3, ""gate_passed"": false}",rejected
B_rotation_dev30_B_rotation,2026-09-12T08:48:45.435557+00:00,Observed initial targets guide ring rotation,Rotate entire future skeleton once after origin scan,8469efdc6d4bdcbf8b1b856bf5702fee96230f8616b5c8a7abca2e0556e442cd,B_rotation.json,development,400001-400030,"python code/experiment.py --phase B_rotation_dev30 --variants {""H0"": ""H0.json"", ""B_rotation"": ""B_rotation.json""} --start 400001 --count 30 --role development","{""phase"": ""B_rotation_dev30"", ""baseline"": ""H0"", ""candidate"": ""B_rotation"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 539.081937301276, ""improvement_percent"": -1.0907150438939375, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 8476.21114995, ""p95_change_percent"": 6.622256775920166, ""bootstrap_improvement_95_percent"": [-4.459047080863418, 2.4133309587668035], ""faster"": 14, ""slower"": 14, ""gate_passed"": false}",rejected
D_progress_dev30_cap1,2026-09-12T08:53:27.388964+00:00,Faster return to unknown-channel search,max_tasks_before_search=1,8469efdc6d4bdcbf8b1b856bf5702fee96230f8616b5c8a7abca2e0556e442cd,D_progress1.json,development,400001-400030,"python code/experiment.py --phase D_progress_dev30 --variants {""H0"": ""H0.json"", ""cap1"": ""D_progress1.json"", ""cap4"": ""D_progress4.json"", ""cap8"": ""D_progress8.json""} --start 400001 --count 30 --role development","{""phase"": ""D_progress_dev30"", ""baseline"": ""H0"", ""candidate"": ""cap1"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 590.9421905096447, ""improvement_percent"": -10.815748877222818, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 9095.7055816, ""p95_change_percent"": 14.414876991973724, ""bootstrap_improvement_95_percent"": [-14.017884583406518, -7.986672524465313], ""faster"": 2, ""slower"": 28, ""gate_passed"": false}",rejected
